year,proj_shoreline_mean,proj_shoreline_q05,proj_shoreline_q95,slr_only_shoreline_mean,slr_only_shoreline_q05,slr_only_shoreline_q95,trend_only_shoreline_mean,trend_only_shoreline_q05,trend_only_shoreline_q95
2025.0,447.95450387158786,447.9545038715882,447.9545038715882,447.95450387158786,447.9545038715882,447.9545038715882,447.95450387158786,447.9545038715882,447.9545038715882
2030.0,438.6014185074803,422.1717699931042,452.9465971830082,440.25196703173964,436.0687769456241,444.21822030312427,446.3039553473289,432.9749738269423,461.2485303434014
2040.0,420.3433602113609,385.743446185333,455.4625107127567,424.84689335204274,412.2973230936958,436.7456531661965,443.4509707309064,406.33559892500966,481.3148550507113
2050.0,402.5094748043276,354.6590876848845,456.8199387255675,409.4418196723458,388.5258692417676,429.2730860292687,441.02215900357004,391.5174088290907,482.31905262663736
