year,proj_shoreline_mean,proj_shoreline_q05,proj_shoreline_q95,slr_only_shoreline_mean,slr_only_shoreline_q05,slr_only_shoreline_q95,trend_only_shoreline_mean,trend_only_shoreline_q05,trend_only_shoreline_q95
2025.0,386.8080459909249,386.8080459909246,386.8080459909246,386.8080459909249,386.8080459909246,386.8080459909246,386.8080459909249,386.8080459909246,386.8080459909246
2030.0,386.06606442718936,383.8573126396478,388.02525669468014,385.42625846150963,384.6685266624502,386.14603087319637,387.447851956604,385.70403144545867,389.40303933297207
2040.0,384.6407275082697,380.11535932676617,389.5576536529895,382.6626834026801,380.38948800550133,384.82200063773996,388.7860900965142,383.9303142418536,393.7397932738742
2050.0,383.27088480570325,376.52856777753874,391.09478466082703,379.8991083438506,376.11044934855244,383.49797040228356,390.17982245277744,383.7031536524382,395.58266362532686
