year,proj_shoreline_mean,proj_shoreline_q05,proj_shoreline_q95,slr_only_shoreline_mean,slr_only_shoreline_q05,slr_only_shoreline_q95,trend_only_shoreline_mean,trend_only_shoreline_q05,trend_only_shoreline_q95
2025.0,379.3768401842049,379.3768401842049,379.3768401842049,379.3768401842049,379.3768401842049,379.3768401842049,379.3768401842049,379.3768401842049,379.3768401842049
2030.0,377.20854904646956,375.13313409685463,379.3867256073473,377.1761153728196,375.980918205358,378.30933059321524,379.4092738578549,377.98267996828963,381.00878386834864
2040.0,372.919928009184,368.84461969330306,378.0448524712252,372.77466575004917,369.1890742476642,376.17431141123586,379.5221024433398,375.54966369802025,383.5746540897817
2050.0,368.67670597337235,360.8327757069117,377.4623496550166,368.3732161272785,362.3972302899705,374.0392922292565,379.6803300302989,374.3818626271183,384.10031485889067
