year,year_decimal,series_type,shoreline_position,proj_shoreline_mean,proj_shoreline_q05,proj_shoreline_q95,slr_only_shoreline_mean,slr_only_shoreline_q05,slr_only_shoreline_q95,trend_only_shoreline_mean,trend_only_shoreline_q05,trend_only_shoreline_q95
2025.0,2025.0,projection,374.177474846945,374.177474846945,374.17747484693837,374.17747484693837,374.177474846945,374.17747484693837,374.17747484693837,374.177474846945,374.17747484693837,374.17747484693837
2030.0,2030.0,projection,369.61627646004143,369.61627646004143,366.25664589614934,374.7983213286467,372.68187587619644,371.7622534940965,373.5388967296464,371.1118754307832,367.8673786929581,376.12687924941565
2040.0,2040.0,projection,364.3449688080504,364.3449688080504,355.1495005573579,373.59895301074494,369.690677934714,366.93181078841275,372.2617404950626,368.8317657202731,360.1095381283194,377.63383944898015
2050.0,2050.0,projection,358.9368599823618,358.9368599823618,346.63916076921146,371.57537638611984,366.69947999323114,362.1013680827291,370.9845842604787,366.41485483606954,354.885355611274,378.1498769538456
1999.0,1999.542094455852,satellite_observation,353.94,,,,,,,,,
1999.0,1999.6488706365503,satellite_observation,361.56,,,,,,,,,
1999.0,1999.7364818617386,satellite_observation,365.76,,,,,,,,,
1999.0,1999.8049281314168,satellite_observation,365.76,,,,,,,,,
1999.0,1999.9801505817934,satellite_observation,370.77,,,,,,,,,
2000.0,2000.0,satellite_observation,375.57,,,,,,,,,
2000.0,2000.1122518822724,satellite_observation,377.36,,,,,,,,,
2000.0,2000.375085557837,satellite_observation,379.74,,,,,,,,,
2000.0,2000.394250513347,satellite_observation,380.22,,,,,,,,,
2000.0,2000.5256673511294,satellite_observation,374.9,,,,,,,,,
2001.0,2001.0054757015744,satellite_observation,383.3,,,,,,,,,
2001.0,2001.1177275838468,satellite_observation,378.55,,,,,,,,,
2001.0,2001.2245037645448,satellite_observation,373.89,,,,,,,,,
2001.0,2001.599589322382,satellite_observation,367.85,,,,,,,,,
2001.0,2001.643394934976,satellite_observation,358.7,,,,,,,,,
2001.0,2001.6872005475702,satellite_observation,361.7,,,,,,,,,
2001.0,2001.7310061601643,satellite_observation,369.83,,,,,,,,,
2001.0,2001.7501711156742,satellite_observation,369.83,,,,,,,,,
2001.0,2001.7748117727583,satellite_observation,375.52,,,,,,,,,
2001.0,2001.7939767282683,satellite_observation,375.01,,,,,,,,,
