segment_id,segment_years,r_sample_m_per_year,dy_segment_m,dy_cumulative_m
1,5,-1.114657931650339,-4.766770672756787,-4.766770672756787
2,5,-0.8379215480856799,-3.402654305069613,-8.1694249778264
3,5,0.2865743833679693,2.1403223203192665,-6.029102657507134
4,5,-1.100429497776003,-4.696634468458223,-10.725737125965356
5,5,-0.7296049992010238,-2.8687296533064885,-13.594466779271844
6,5,-0.6015841887589407,-2.237676805541643,-15.832143584813487
7,5,-0.9775993558674068,-4.09116797769697,-19.923311562510456
8,5,-0.6710134335163256,-2.5799143095147294,-22.503225872025187
9,5,-0.9857781141665864,-4.131483522474846,-26.63470939450003
10,5,1.195539664182541,6.620883933674368,-20.013825460825664
11,5,-5.151136428456322,-24.663779928946028,-44.67760538977169
12,5,-1.7245881181386464,-7.77329890665918,-52.45090429643087
13,5,-1.2555814995685042,-5.461425069529044,-57.91232936595991
14,5,0.541683584435875,3.397831839818421,-54.51449752614149
15,5,2.711255686658958,14.092301346855548,-40.42219617928594
