segment_id,segment_years,r_sample_m_per_year,dy_segment_m,dy_cumulative_m
1,5,-1.306834149445148,-5.471494199783094,-5.471494199783094
2,5,-0.9634025926779203,-3.7786173841944337,-9.250111583977528
3,5,-1.3146176313537785,-5.509861309060139,-14.759972893037666
4,5,-1.6720363250800323,-7.271684904313685,-22.03165779735135
5,5,-0.9323717907739615,-3.625657284642658,-25.657315081994007
6,5,-0.9340275097474937,-3.6338188184568696,-29.291133900450877
7,5,-1.0650769979186225,-4.279800924201541,-33.57093482465242
8,5,-0.8534692310071524,-3.236722978846285,-36.80765780349871
9,5,-1.1355237838438597,-4.6270541927950335,-41.43471199629374
10,5,-0.43735754145751704,-1.1855840603238614,-42.620296056617605
11,5,-6.197537708636949,-29.579234167558837,-72.19953022417644
12,5,-1.609068834535739,-6.96129931866268,-79.16082954283912
13,5,-1.663758800403325,-7.230882510533784,-86.39171205337291
14,5,-1.130804768465098,-4.603792755196489,-90.99550480856941
15,5,1.3991665789316148,7.8671923762438265,-83.12831243232559
