segment_id,segment_years,r_sample_m_per_year,dy_segment_m,dy_cumulative_m
1,5,-1.4131339091834687,-5.995477494904738,-5.995477494904738
2,5,-0.8678002367227688,-3.307364790415392,-9.30284228532013
3,5,-2.9297681613810567,-13.471421136895485,-22.774263422215615
4,5,-1.8937070486973089,-8.36436617169295,-31.138629593908565
5,5,-0.9173895566115413,-3.5518053733680284,-34.690434967276595
6,5,-1.1875771078738033,-4.883640588798072,-39.57407555607467
7,5,-0.997123626772925,-3.9448384424875704,-43.51891399856224
8,5,-1.0802382196141829,-4.354535118537124,-47.87344911709936
9,5,-1.1115334951075508,-4.508798887478109,-52.38224800457747
10,5,-1.144584729490202,-4.671718302745765,-57.053966307323236
11,5,-7.045797158441174,-33.76055859125139,-90.81452489857463
12,5,-1.0705617556226812,-4.306836934647767,-95.1213618332224
13,5,-1.902107860139713,-8.405776282798776,-103.52713811602118
14,5,-2.109485469805794,-9.428002518443888,-112.95514063446507
15,5,-0.08252802092233283,0.5634767262117988,-112.39166390825326
