segment_id,segment_years,r_sample_m_per_year,dy_segment_m,dy_cumulative_m
1,5,-2.839014713615472,-13.024070261212195,-13.024070261212195
2,5,-2.319130662104955,-10.461406346803853,-23.48547660801605
3,5,-4.645720834746807,-21.92986486505047,-45.41534147306652
4,5,0.5429239204791108,3.6465163304642023,-41.76882514260232
5,5,-2.6977896437583886,-12.327929671246004,-54.09675481384832
6,5,-3.83856046264398,-17.951130082326554,-72.04788489617488
7,5,-3.3671612183473307,-15.627462277691182,-87.67534717386606
8,5,-1.3881465589565403,-5.872307375419091,-93.54765454928514
9,5,-0.13493685075138825,0.305137935842941,-93.2425166134422
10,5,-0.4627304871073193,-1.310654894926444,-94.55317150836865
11,5,-4.216246748919392,-19.81285870045347,-114.36603020882212
12,5,0.09288001748996048,1.4281153875253843,-112.93791482129674
13,5,-0.9459488897637135,-3.6925828645720578,-116.6304976858688
14,5,-3.105829417931897,-14.339279705700035,-130.96977739156884
15,5,-2.3075265987495457,-10.404206449374774,-141.37398384094362
