segment_id,segment_years,r_sample_m_per_year,dy_segment_m,dy_cumulative_m
1,5,-1.7979802521482542,-7.892500173023806,-7.892500173023806
2,5,-0.7250267095780817,-2.6035913915518796,-10.496091564575686
3,5,-1.7238710049365993,-7.527193537820296,-18.02328510239598
4,5,-2.129643280705562,-9.527366394747096,-27.55065149714308
5,5,-1.0780683372482238,-4.3438391196473765,-31.894490616790456
6,5,-1.2754808797137616,-5.316944559904959,-37.21143517669542
7,5,-1.2279480444173674,-5.082641004314699,-42.29407618101011
8,5,-1.1571155337184416,-4.733486382995434,-47.02756256400555
9,5,-0.9497318540373267,-3.7112302264315296,-50.73879279043708
10,5,-0.5835833479918722,-1.9063747763923402,-52.64516756682942
11,5,-7.6219172434611036,-36.60042672714971,-89.24559429397914
12,5,-1.7807029489900952,-7.8073351805354525,-97.05292947451458
13,5,-2.275037986387226,-10.244060366246787,-107.29698984076137
14,5,-1.3713008532066222,-5.7892698555863005,-113.08625969634767
15,5,1.225472122413049,7.011000472376791,-106.07525922397087
