segment_id,segment_years,r_sample_m_per_year,dy_segment_m,dy_cumulative_m
1,5,-1.9791745043219056,-8.591604409031044,-8.591604409031044
2,5,-1.6820226424399098,-7.126854045307225,-15.718458454338268
3,5,-1.8992791082570877,-8.197776116303489,-23.916234570641755
4,5,-2.1770431717804897,-9.56695822574246,-33.483192796384216
5,5,-1.4022330136054784,-5.747687318887273,-39.23088011527149
6,5,-1.4042415900195973,-5.757588192516381,-44.98846830778787
7,5,-1.7059381688096835,-7.244740824568544,-52.233209132356414
8,5,-1.4974532590701009,-6.2170563758227635,-58.45026550817918
9,5,-1.9661009127108096,-8.527160767499582,-66.97742627567877
10,5,-0.033357437477840715,0.999909634827439,-65.97751664085133
11,5,-8.78409357699272,-42.13508491652994,-108.11260155738128
12,5,-2.2383666408514156,-9.86923993805465,-117.98184149543593
13,5,-2.3796542751138707,-10.56568892667917,-128.5475304221151
14,5,-1.1250342685013437,-4.38129183294444,-132.92882225505954
15,5,1.8344915500367667,10.207095706337485,-122.72172654872206
