segment_id,segment_years,r_sample_m_per_year,dy_segment_m,dy_cumulative_m
1,5,-0.8119808813770035,-3.274785003641978,-3.274785003641978
2,5,-0.6765242154651973,-2.6070786012438454,-5.881863604885823
3,5,-0.28207775527697204,-0.6627340752798228,-6.544597680165646
4,5,-0.8857160501730807,-3.638247694500638,-10.182845374666284
5,5,-0.5661147897827541,-2.0628375340580734,-12.245682908724358
6,5,-0.524255180250413,-1.8564990043261522,-14.102181913050511
7,5,-0.7183417888069985,-2.8132099220254574,-16.91539183507597
8,5,-0.5564815654366884,-2.0153524913079917,-18.93074432638396
9,5,-0.7645574237496373,-3.0410206032818983,-21.971764929665856
10,5,0.6092211759429782,3.7307448193922976,-18.24102011027356
11,5,-3.754207883556913,-17.77790150544096,-36.01892161571452
12,5,-1.1383555202209434,-4.883583171451325,-40.902504787165846
13,5,-0.9353643513848708,-3.882979014027482,-44.78548380119333
14,5,0.06893120552986387,1.0674940301604416,-43.71798977103289
15,5,1.5162284496996359,8.201654830593236,-35.516334940439656
