segment_id,segment_years,r_sample_m_per_year,dy_segment_m,dy_cumulative_m
1,5,-1.6766861989257802,-7.294605522625456,-7.294605522625456
2,5,-0.8669770816848631,-3.3033072131431607,-10.597912735768617
3,5,-1.4963830188174436,-6.405837244440728,-17.003749980209346
4,5,-1.8734623761781037,-8.264574128499389,-25.268324108708732
5,5,-1.1057343521927687,-4.48021317833964,-29.74853728704837
6,5,-1.2339338633182149,-5.11214689519713,-34.8606841822455
7,5,-1.2418302058170465,-5.1510703280640735,-40.01175451030957
8,5,-1.1826024647048652,-4.859119085399274,-44.870873595708844
9,5,-1.0967035858013854,-4.435697830958992,-49.30657142666784
10,5,-0.07741274452445443,0.5886914528397467,-48.71787997382809
11,5,-6.731123282876073,-32.20943698370311,-80.92731695753119
12,5,-1.7087666720748478,-7.45273976555404,-88.38005672308523
13,5,-2.0325162290655587,-9.048598120114466,-97.4286548431997
14,5,-0.8869396965411271,-3.401708909792139,-100.83036375299183
15,5,1.1907688649402923,6.8399377414092575,-93.99042601158257
