segment_id,segment_years,r_sample_m_per_year,dy_segment_m,dy_cumulative_m
1,5,2.8949010275080633,20.392744082042483,20.392744082042483
2,5,3.7392332691451355,26.128284218053686,46.52102830009617
3,5,1.6470912131706892,11.91638499102366,58.43741329111983
4,5,7.299491612270839,50.31308211464232,108.75049540576215
5,5,7.179493245263723,49.497934455599164,158.24842986136133
6,5,3.282795032829499,23.027704025921473,181.2761338872828
7,5,4.139431203167144,28.846824621629352,210.12295850891218
8,5,5.396059766090442,37.38308938007347,247.50604788898565
9,5,3.58247099726623,25.06339973557737,272.569447624563
10,5,8.433825703932882,58.018601801725424,330.5880494262884
11,5,1.79977741483319,12.953580770912877,343.5416301972013
12,5,3.9187241245912565,27.347563732314768,370.88919392951607
13,5,4.073537419434024,28.399208834054825,399.2884027635709
14,5,5.039908952697936,34.963760608824444,434.25216337239533
15,5,3.3218713370628814,23.29314895416796,457.5453123265633
