year,proj_shoreline_mean,proj_shoreline_q05,proj_shoreline_q95,slr_only_shoreline_mean,slr_only_shoreline_q05,slr_only_shoreline_q95,trend_only_shoreline_mean,trend_only_shoreline_q05,trend_only_shoreline_q95
2025.0,214.29427326608365,214.2942732660837,214.2942732660837,214.29427326608365,214.2942732660837,214.2942732660837,214.29427326608365,214.2942732660837,214.2942732660837
2030.0,216.00868713362485,214.53883892018663,216.99594054023035,213.73931949398005,213.4366883807634,214.02648352047163,216.5636409057285,215.10587687641518,217.3762103466511
2040.0,218.37108400773207,215.65468620890837,220.85467773465143,212.6294119497726,211.72151861012279,213.49090402924747,220.03594532404307,217.5023417374038,222.78959935243216
2050.0,220.76792576274028,216.9903185190976,224.573589000212,211.51950440556524,210.00634883948217,212.95532453802335,223.54269462325863,219.43094449083162,226.75638170142102
