year,year_decimal,series_type,shoreline_position,proj_shoreline_mean,proj_shoreline_q05,proj_shoreline_q95,slr_only_shoreline_mean,slr_only_shoreline_q05,slr_only_shoreline_q95,trend_only_shoreline_mean,trend_only_shoreline_q05,trend_only_shoreline_q95
2025.0,2025.0,projection,209.95500713579264,209.95500713579264,209.95500713578605,209.95500713578605,209.95500713579264,209.95500713578605,209.95500713578605,209.95500713579264,209.95500713578605,209.95500713578605
2030.0,2030.0,projection,211.57226092748655,211.57226092748655,210.00305601732833,213.29534893486812,209.60305783046428,209.3769518731699,209.81473861937036,211.9242102328087,210.3488267810618,213.6439189718539
2040.0,2040.0,projection,213.71706402363034,213.71706402363034,210.73934561922064,216.66822046891568,208.8991592198197,208.22084134793766,209.53420158653898,214.77291193959746,211.85239131511864,217.64413463156419
2050.0,2050.0,projection,215.81731998860224,215.81731998860224,211.87953976259539,219.6738482810314,208.1952606091756,207.0647308227054,209.25366455370764,217.57706651521292,213.77369224227888,221.35472130760937
1999.0,1999.542094455852,satellite_observation,197.46,,,,,,,,,
1999.0,1999.6488706365503,satellite_observation,199.19,,,,,,,,,
1999.0,1999.7173169062287,satellite_observation,207.13,,,,,,,,,
1999.0,1999.7364818617386,satellite_observation,205.91,,,,,,,,,
2000.0,2000.024640657084,satellite_observation,205.91,,,,,,,,,
2000.0,2000.1122518822724,satellite_observation,205.42,,,,,,,,,
2000.0,2000.375085557837,satellite_observation,197.53,,,,,,,,,
2000.0,2000.394250513347,satellite_observation,199.11,,,,,,,,,
2000.0,2000.438056125941,satellite_observation,199.12,,,,,,,,,
2000.0,2000.4818617385351,satellite_observation,197.74,,,,,,,,,
2000.0,2000.5256673511294,satellite_observation,197.74,,,,,,,,,
2000.0,2000.6132785763175,satellite_observation,199.49,,,,,,,,,
2000.0,2000.72553045859,satellite_observation,200.17,,,,,,,,,
2000.0,2000.7885010266941,satellite_observation,199.29,,,,,,,,,
2001.0,2001.0054757015744,satellite_observation,199.65,,,,,,,,,
2001.0,2001.1615331964408,satellite_observation,199.24,,,,,,,,,
2001.0,2001.2245037645448,satellite_observation,196.88,,,,,,,,,
2001.0,2001.3805612594113,satellite_observation,199.44,,,,,,,,,
2001.0,2001.4681724845996,satellite_observation,200.17,,,,,,,,,
2001.0,2001.4873374401095,satellite_observation,198.18,,,,,,,,,
2001.0,2001.599589322382,satellite_observation,198.93,,,,,,,,,
2001.0,2001.6872005475702,satellite_observation,198.98,,,,,,,,,
2001.0,2001.7310061601643,satellite_observation,198.7,,,,,,,,,
2001.0,2001.7501711156742,satellite_observation,198.08,,,,,,,,,
2001.0,2001.7748117727583,satellite_observation,198.14,,,,,,,,,
2001.0,2001.9253935660506,satellite_observation,194.95,,,,,,,,,
2002.0,2002.0574948665299,satellite_observation,194.29,,,,,,,,,
2002.0,2002.125941136208,satellite_observation,194.52,,,,,,,,,
2002.0,2002.3203285420946,satellite_observation,198.13,,,,,,,,,
2002.0,2002.476386036961,satellite_observation,205.74,,,,,,,,,
2002.0,2002.539356605065,satellite_observation,205.67,,,,,,,,,
2002.0,2002.6078028747434,satellite_observation,208.02,,,,,,,,,
2002.0,2002.6516084873374,satellite_observation,209.03,,,,,,,,,
2002.0,2002.7830253251198,satellite_observation,208.38,,,,,,,,,
2002.0,2002.8459958932237,satellite_observation,203.32,,,,,,,,,
2003.0,2003.002737850787,satellite_observation,200.11,,,,,,,,,
2003.0,2003.0465434633813,satellite_observation,196.38,,,,,,,,,
2003.0,2003.065708418891,satellite_observation,196.12,,,,,,,,,
2003.0,2003.2217659137577,satellite_observation,194.83,,,,,,,,,
2003.0,2003.3093771389458,satellite_observation,193.19,,,,,,,,,
2003.0,2003.5503080082135,satellite_observation,202.34,,,,,,,,,
2003.0,2003.5913757700205,satellite_observation,206.14,,,,,,,,,
2003.0,2003.5941136208078,satellite_observation,208.11,,,,,,,,,
2003.0,2003.6132785763175,satellite_observation,208.12,,,,,,,,,
2003.0,2003.6598220396988,satellite_observation,207.67,,,,,,,,,
2003.0,2003.8131416837782,satellite_observation,207.84,,,,,,,,,
2003.0,2003.8542094455852,satellite_observation,207.84,,,,,,,,,
2003.0,2003.8761122518822,satellite_observation,205.69,,,,,,,,,
2003.0,2003.8788501026695,satellite_observation,209.1,,,,,,,,,
2003.0,2003.9445585215606,satellite_observation,208.52,,,,,,,,,
2004.0,2004.0082135523614,satellite_observation,207.29,,,,,,,,,
2004.0,2004.0739219712525,satellite_observation,206.78,,,,,,,,,
2004.0,2004.0985626283368,satellite_observation,204.42,,,,,,,,,
2004.0,2004.1177275838468,satellite_observation,203.88,,,,,,,,,
2004.0,2004.1204654346338,satellite_observation,202.51,,,,,,,,,
2004.0,2004.1396303901438,satellite_observation,200.47,,,,,,,,,
2004.0,2004.186173853525,satellite_observation,199.65,,,,,,,,,
2004.0,2004.2299794661192,satellite_observation,199.65,,,,,,,,,
2004.0,2004.2491444216291,satellite_observation,199.65,,,,,,,,,
2004.0,2004.2956878850102,satellite_observation,199.29,,,,,,,,,
2004.0,2004.3148528405202,satellite_observation,198.84,,,,,,,,,
2004.0,2004.3805612594113,satellite_observation,196.01,,,,,,,,,
2004.0,2004.3832991101985,satellite_observation,196.45,,,,,,,,,
2004.0,2004.4052019164956,satellite_observation,197.2,,,,,,,,,
2004.0,2004.4462696783025,satellite_observation,197.73,,,,,,,,,
2004.0,2004.4681724845996,satellite_observation,197.73,,,,,,,,,
2004.0,2004.5119780971936,satellite_observation,197.88,,,,,,,,,
2004.0,2004.514715947981,satellite_observation,198.57,,,,,,,,,
2004.0,2004.558521560575,satellite_observation,199.43,,,,,,,,,
2004.0,2004.577686516085,satellite_observation,199.75,,,,,,,,,
2004.0,2004.580424366872,satellite_observation,199.75,,,,,,,,,
2004.0,2004.621492128679,satellite_observation,199.15,,,,,,,,,
2004.0,2004.6461327857633,satellite_observation,199.21,,,,,,,,,
2004.0,2004.6899383983573,satellite_observation,199.09,,,,,,,,,
2004.0,2004.7091033538672,satellite_observation,198.47,,,,,,,,,
2004.0,2004.7337440109513,satellite_observation,195.09,,,,,,,,,
2004.0,2004.7529089664613,satellite_observation,194.89,,,,,,,,,
2004.0,2004.8405201916496,satellite_observation,195.24,,,,,,,,,
2004.0,2004.8624229979466,satellite_observation,195.69,,,,,,,,,
2004.0,2004.8843258042436,satellite_observation,195.64,,,,,,,,,
2005.0,2005.0355920602328,satellite_observation,192.64,,,,,,,,,
2005.0,2005.03832991102,satellite_observation,193.34,,,,,,,,,
2005.0,2005.0574948665299,satellite_observation,191.61,,,,,,,,,
2005.0,2005.145106091718,satellite_observation,192.37,,,,,,,,,
2005.0,2005.2108145106092,satellite_observation,192.58,,,,,,,,,
2005.0,2005.2354551676933,satellite_observation,198.3,,,,,,,,,
2005.0,2005.2765229295003,satellite_observation,199.49,,,,,,,,,
2005.0,2005.2792607802876,satellite_observation,199.46,,,,,,,,,
2005.0,2005.3011635865846,satellite_observation,199.44,,,,,,,,,
2005.0,2005.3203285420946,satellite_observation,199.48,,,,,,,,,
2005.0,2005.3230663928816,satellite_observation,199.48,,,,,,,,,
2005.0,2005.3422313483916,satellite_observation,199.61,,,,,,,,,
2005.0,2005.3449691991786,satellite_observation,199.02,,,,,,,,,
2005.0,2005.3860369609856,satellite_observation,198.16,,,,,,,,,
2005.0,2005.432580424367,satellite_observation,198.42,,,,,,,,,
2005.0,2005.4517453798767,satellite_observation,198.88,,,,,,,,,
2005.0,2005.495550992471,satellite_observation,199.2,,,,,,,,,
2005.0,2005.539356605065,satellite_observation,199.35,,,,,,,,,
2005.0,2005.5859000684463,satellite_observation,200.21,,,,,,,,,
2005.0,2005.6297056810404,satellite_observation,200.94,,,,,,,,,
2005.0,2005.6926762491444,satellite_observation,201.19,,,,,,,,,
2005.0,2005.7145790554414,satellite_observation,200.7,,,,,,,,,
2005.0,2005.7173169062287,satellite_observation,201.2,,,,,,,,,
2005.0,2005.8049281314168,satellite_observation,202.28,,,,,,,,,
2005.0,2005.889801505818,satellite_observation,203.69,,,,,,,,,
2005.0,2005.911704312115,satellite_observation,203.69,,,,,,,,,
2006.0,2006.0684462696784,satellite_observation,204.13,,,,,,,,,
2006.0,2006.1122518822724,satellite_observation,204.13,,,,,,,,,
2006.0,2006.1998631074607,satellite_observation,205.73,,,,,,,,,
2006.0,2006.2436687200548,satellite_observation,208.78,,,,,,,,,
2006.0,2006.2655715263518,satellite_observation,206.38,,,,,,,,,
2006.0,2006.2874743326488,satellite_observation,206.38,,,,,,,,,
2006.0,2006.331279945243,satellite_observation,205.86,,,,,,,,,
2006.0,2006.37234770705,satellite_observation,205.02,,,,,,,,,
2006.0,2006.3969883641341,satellite_observation,205.88,,,,,,,,,
2006.0,2006.416153319644,satellite_observation,204.59,,,,,,,,,
2006.0,2006.4818617385351,satellite_observation,205.94,,,,,,,,,
2006.0,2006.4845995893224,satellite_observation,206.22,,,,,,,,,
2006.0,2006.5284052019165,satellite_observation,206.75,,,,,,,,,
2006.0,2006.5503080082135,satellite_observation,206.75,,,,,,,,,
2006.0,2006.5694729637235,satellite_observation,206.75,,,,,,,,,
2006.0,2006.6351813826147,satellite_observation,206.36,,,,,,,,,
2006.0,2006.6379192334018,satellite_observation,206.36,,,,,,,,,
2006.0,2006.6817248459959,satellite_observation,207.55,,,,,,,,,
2006.0,2006.72553045859,satellite_observation,206.9,,,,,,,,,
2006.0,2006.7693360711842,satellite_observation,208.29,,,,,,,,,
2006.0,2006.7885010266941,satellite_observation,208.29,,,,,,,,,
2007.0,2007.0520191649555,satellite_observation,208.41,,,,,,,,,
2007.0,2007.0958247775495,satellite_observation,208.41,,,,,,,,,
2007.0,2007.1642710472279,satellite_observation,210.28,,,,,,,,,
2007.0,2007.1834360027378,satellite_observation,205.46,,,,,,,,,
