year,proj_shoreline_mean,proj_shoreline_q05,proj_shoreline_q95,slr_only_shoreline_mean,slr_only_shoreline_q05,slr_only_shoreline_q95,trend_only_shoreline_mean,trend_only_shoreline_q05,trend_only_shoreline_q95
2025.0,210.7633371703285,210.76333717032833,210.76333717032833,210.7633371703285,210.76333717032833,210.76333717032833,210.7633371703285,210.76333717032833,210.76333717032833
2030.0,211.907712905495,210.83879401706216,213.75909667887547,210.35837090419864,210.13753198374323,210.56792303163843,212.3126791716247,211.31509231799618,214.2208409010083
2040.0,215.34024687612416,211.83766745161512,218.99441769339663,209.54843837193914,208.88592161057306,210.17709475425866,216.55514567451323,212.9929802403596,220.42179428354194
2050.0,218.81128558413715,214.20552694858955,223.6425863660345,208.73850583967982,207.63431123740287,209.78626647687886,220.83611691478572,216.34187054267952,225.13643791293438
