year,proj_shoreline_mean,proj_shoreline_q05,proj_shoreline_q95,slr_only_shoreline_mean,slr_only_shoreline_q05,slr_only_shoreline_q95,trend_only_shoreline_mean,trend_only_shoreline_q05,trend_only_shoreline_q95
2025.0,210.95668249268402,210.95668249268377,210.95668249268377,210.95668249268402,210.95668249268377,210.95668249268377,210.95668249268402,210.95668249268377,210.95668249268377
2030.0,213.5703485934203,211.79840287367213,215.18251732107538,210.4400013945183,210.15824139255795,210.70736100538977,214.08702969158583,212.3886483492851,215.54118124106054
2040.0,216.80497621730515,214.04501715058214,219.19213236503174,209.4066391981873,208.56135919230636,210.20871803080175,218.35501951180163,215.87074001944546,220.9807626183154
2050.0,220.06575855838696,216.7284094786983,223.41767517879848,208.37327700185625,206.96447699205476,209.71007505621378,222.64916404921448,219.71869841899743,225.72831593784997
