year,year_decimal,series_type,shoreline_position,proj_shoreline_mean,proj_shoreline_q05,proj_shoreline_q95,slr_only_shoreline_mean,slr_only_shoreline_q05,slr_only_shoreline_q95,trend_only_shoreline_mean,trend_only_shoreline_q05,trend_only_shoreline_q95
2025.0,2025.0,projection,212.2642318333203,212.2642318333203,212.26423183330925,212.26423183330925,212.2642318333203,212.26423183330925,212.26423183330925,212.2642318333203,212.26423183330925,212.26423183330925
2030.0,2030.0,projection,214.34055996902305,214.34055996902305,212.75207826557852,215.58873788680077,211.97296344269765,211.78584127114416,212.14814754386177,214.63182835963468,213.04738900898042,215.8709361134919
2040.0,2040.0,projection,217.99202441138524,217.99202441138524,214.53263803096468,221.37559098943413,211.39042666147506,210.82906014681404,211.91597896496685,218.86582958321915,215.44395531002738,222.14624938376417
2050.0,2050.0,projection,221.58583033933772,221.58583033933772,216.78825786896857,226.4009172987701,210.80788988025236,209.87227902248387,211.68381038607194,223.04217229239455,218.41762388642425,227.71250334976355
1999.0,1999.542094455852,satellite_observation,207.93,,,,,,,,,
1999.0,1999.6488706365503,satellite_observation,207.62,,,,,,,,,
1999.0,1999.7173169062287,satellite_observation,212.79,,,,,,,,,
1999.0,1999.7364818617386,satellite_observation,210.39,,,,,,,,,
2000.0,2000.024640657084,satellite_observation,210.39,,,,,,,,,
2000.0,2000.1122518822724,satellite_observation,208.31,,,,,,,,,
2000.0,2000.375085557837,satellite_observation,200.15,,,,,,,,,
2000.0,2000.394250513347,satellite_observation,203.76,,,,,,,,,
2000.0,2000.438056125941,satellite_observation,197.31,,,,,,,,,
2000.0,2000.4818617385351,satellite_observation,196.84,,,,,,,,,
2000.0,2000.5256673511294,satellite_observation,196.84,,,,,,,,,
2000.0,2000.6132785763175,satellite_observation,197.42,,,,,,,,,
2000.0,2000.72553045859,satellite_observation,197.13,,,,,,,,,
2000.0,2000.7885010266941,satellite_observation,197.85,,,,,,,,,
2001.0,2001.0054757015744,satellite_observation,201.01,,,,,,,,,
2001.0,2001.1615331964408,satellite_observation,202.51,,,,,,,,,
2001.0,2001.2245037645448,satellite_observation,203.26,,,,,,,,,
2001.0,2001.3805612594113,satellite_observation,203.81,,,,,,,,,
2001.0,2001.4681724845996,satellite_observation,204.94,,,,,,,,,
2001.0,2001.4873374401095,satellite_observation,204.67,,,,,,,,,
2001.0,2001.599589322382,satellite_observation,204.77,,,,,,,,,
2001.0,2001.6872005475702,satellite_observation,204.22,,,,,,,,,
2001.0,2001.7310061601643,satellite_observation,203.82,,,,,,,,,
2001.0,2001.7501711156742,satellite_observation,203.17,,,,,,,,,
2001.0,2001.7748117727583,satellite_observation,202.3,,,,,,,,,
2001.0,2001.9253935660506,satellite_observation,200.02,,,,,,,,,
2002.0,2002.0574948665299,satellite_observation,197.68,,,,,,,,,
2002.0,2002.125941136208,satellite_observation,197.88,,,,,,,,,
2002.0,2002.3203285420946,satellite_observation,196.79,,,,,,,,,
2002.0,2002.476386036961,satellite_observation,203.33,,,,,,,,,
2002.0,2002.539356605065,satellite_observation,205.14,,,,,,,,,
2002.0,2002.6078028747434,satellite_observation,206.43,,,,,,,,,
2002.0,2002.6516084873374,satellite_observation,208.35,,,,,,,,,
2002.0,2002.7830253251198,satellite_observation,208.04,,,,,,,,,
