year,year_decimal,series_type,shoreline_position,proj_shoreline_mean,proj_shoreline_q05,proj_shoreline_q95,slr_only_shoreline_mean,slr_only_shoreline_q05,slr_only_shoreline_q95,trend_only_shoreline_mean,trend_only_shoreline_q05,trend_only_shoreline_q95
2025.0,2025.0,projection,368.61526441792176,368.61526441792176,368.6152644179227,368.6152644179227,368.61526441792176,368.6152644179227,368.6152644179227,368.61526441792176,368.6152644179227,368.6152644179227
2030.0,2030.0,projection,368.18343170646494,368.18343170646494,365.97513946680954,369.39633415801535,367.8326922744856,367.3343793853981,368.2989421222663,368.96600384990126,366.78150611354306,369.9892762909422
2040.0,2040.0,projection,366.00248353229176,366.00248353229176,361.79418925258335,370.08684755377675,366.2675479876136,364.7726093203489,367.66629753095356,368.3501999626032,364.3664002289951,372.1721109137736
2050.0,2050.0,projection,363.7555766341956,363.7555766341956,357.9272967776737,369.64046067229,364.7024037007393,362.2108392552998,367.03365293964083,367.66843735137866,362.3123758399002,373.0108959592391
1999.0,1999.6488706365503,satellite_observation,363.98,,,,,,,,,
1999.0,1999.7364818617386,satellite_observation,373.08,,,,,,,,,
1999.0,1999.8678986995208,satellite_observation,371.64,,,,,,,,,
1999.0,1999.9363449691991,satellite_observation,373.15,,,,,,,,,
1999.0,1999.9801505817934,satellite_observation,372.87,,,,,,,,,
2000.0,2000.1122518822724,satellite_observation,372.78,,,,,,,,,
2000.0,2000.394250513347,satellite_observation,372.34,,,,,,,,,
2000.0,2000.5256673511294,satellite_observation,371.56,,,,,,,,,
2000.0,2000.5503080082135,satellite_observation,368.74,,,,,,,,,
2000.0,2000.6817248459959,satellite_observation,366.1,,,,,,,,,
2000.0,2000.7885010266941,satellite_observation,367.9,,,,,,,,,
2000.0,2000.9445585215606,satellite_observation,368.06,,,,,,,,,
2001.0,2001.0054757015744,satellite_observation,366.82,,,,,,,,,
2001.0,2001.0301163586585,satellite_observation,368.63,,,,,,,,,
2001.0,2001.0739219712525,satellite_observation,371.22,,,,,,,,,
2001.0,2001.1177275838468,satellite_observation,371.56,,,,,,,,,
2001.0,2001.2053388090349,satellite_observation,372.01,,,,,,,,,
2001.0,2001.2245037645448,satellite_observation,371.67,,,,,,,,,
2001.0,2001.4243668720055,satellite_observation,369.93,,,,,,,,,
2001.0,2001.4435318275155,satellite_observation,369.61,,,,,,,,,
2001.0,2001.4681724845996,satellite_observation,368.88,,,,,,,,,
2001.0,2001.4873374401095,satellite_observation,368.21,,,,,,,,,
2001.0,2001.599589322382,satellite_observation,366.15,,,,,,,,,
2001.0,2001.6187542778919,satellite_observation,366.9,,,,,,,,,
2001.0,2001.6872005475702,satellite_observation,367.1,,,,,,,,,
2001.0,2001.7748117727583,satellite_observation,368.1,,,,,,,,,
2001.0,2001.7939767282683,satellite_observation,368.85,,,,,,,,,
2001.0,2001.9253935660506,satellite_observation,368.58,,,,,,,,,
2002.0,2002.0136892539356,satellite_observation,369.53,,,,,,,,,
2002.0,2002.0574948665299,satellite_observation,369.36,,,,,,,,,
2002.0,2002.125941136208,satellite_observation,366.87,,,,,,,,,
2002.0,2002.3203285420946,satellite_observation,364.25,,,,,,,,,
2002.0,2002.4079397672826,satellite_observation,366.33,,,,,,,,,
2002.0,2002.495550992471,satellite_observation,367.12,,,,,,,,,
2002.0,2002.539356605065,satellite_observation,369.12,,,,,,,,,
2002.0,2002.6269678302533,satellite_observation,372.55,,,,,,,,,
2002.0,2002.6516084873374,satellite_observation,371.93,,,,,,,,,
2002.0,2002.7583846680357,satellite_observation,371.93,,,,,,,,,
2002.0,2002.7830253251198,satellite_observation,372.26,,,,,,,,,
2003.0,2003.0465434633813,satellite_observation,374.32,,,,,,,,,
2003.0,2003.065708418891,satellite_observation,372.63,,,,,,,,,
2003.0,2003.1533196440794,satellite_observation,366.88,,,,,,,,,
2003.0,2003.2217659137577,satellite_observation,366.0,,,,,,,,,
2003.0,2003.2847364818617,satellite_observation,361.28,,,,,,,,,
2003.0,2003.35318275154,satellite_observation,363.55,,,,,,,,,
2003.0,2003.5503080082135,satellite_observation,363.65,,,,,,,,,
2003.0,2003.5913757700205,satellite_observation,363.21,,,,,,,,,
2003.0,2003.5941136208078,satellite_observation,366.16,,,,,,,,,
2003.0,2003.6132785763175,satellite_observation,367.23,,,,,,,,,
2003.0,2003.6598220396988,satellite_observation,369.87,,,,,,,,,
2003.0,2003.7446954140999,satellite_observation,371.94,,,,,,,,,
2003.0,2003.8131416837782,satellite_observation,375.01,,,,,,,,,
2003.0,2003.8761122518822,satellite_observation,371.41,,,,,,,,,
2003.0,2003.9226557152635,satellite_observation,372.49,,,,,,,,,
2003.0,2003.9445585215606,satellite_observation,372.92,,,,,,,,,
2003.0,2003.9637234770705,satellite_observation,371.99,,,,,,,,,
2003.0,2003.9856262833675,satellite_observation,371.63,,,,,,,,,
2004.0,2004.1177275838468,satellite_observation,368.79,,,,,,,,,
2004.0,2004.1204654346338,satellite_observation,368.04,,,,,,,,,
2004.0,2004.1396303901438,satellite_observation,368.89,,,,,,,,,
2004.0,2004.1642710472279,satellite_observation,369.03,,,,,,,,,
2004.0,2004.186173853525,satellite_observation,369.03,,,,,,,,,
2004.0,2004.2518822724162,satellite_observation,368.46,,,,,,,,,
2004.0,2004.2956878850102,satellite_observation,367.27,,,,,,,,,
2004.0,2004.3367556468172,satellite_observation,366.63,,,,,,,,,
2004.0,2004.3613963039015,satellite_observation,366.57,,,,,,,,,
2004.0,2004.3805612594113,satellite_observation,367.16,,,,,,,,,
2004.0,2004.3832991101985,satellite_observation,367.38,,,,,,,,,
2004.0,2004.4271047227926,satellite_observation,367.12,,,,,,,,,
2004.0,2004.4462696783025,satellite_observation,367.12,,,,,,,,,
2004.0,2004.5119780971936,satellite_observation,368.02,,,,,,,,,
2004.0,2004.514715947981,satellite_observation,368.11,,,,,,,,,
2004.0,2004.558521560575,satellite_observation,368.57,,,,,,,,,
2004.0,2004.577686516085,satellite_observation,368.19,,,,,,,,,
2004.0,2004.580424366872,satellite_observation,367.98,,,,,,,,,
2004.0,2004.7091033538672,satellite_observation,368.03,,,,,,,,,
2004.0,2004.7337440109513,satellite_observation,368.36,,,,,,,,,
2004.0,2004.7529089664613,satellite_observation,367.93,,,,,,,,,
2004.0,2004.8405201916496,satellite_observation,368.4,,,,,,,,,
2004.0,2004.8432580424367,satellite_observation,368.23,,,,,,,,,
2004.0,2004.8843258042436,satellite_observation,369.25,,,,,,,,,
2005.0,2005.03832991102,satellite_observation,368.56,,,,,,,,,
2005.0,2005.0574948665299,satellite_observation,366.99,,,,,,,,,
2005.0,2005.104038329911,satellite_observation,367.5,,,,,,,,,
2005.0,2005.145106091718,satellite_observation,367.64,,,,,,,,,
2005.0,2005.1889117043122,satellite_observation,368.59,,,,,,,,,
2005.0,2005.2108145106092,satellite_observation,368.21,,,,,,,,,
2005.0,2005.2327173169062,satellite_observation,368.96,,,,,,,,,
2005.0,2005.2354551676933,satellite_observation,368.96,,,,,,,,,
2005.0,2005.2765229295003,satellite_observation,370.76,,,,,,,,,
2005.0,2005.3230663928816,satellite_observation,371.17,,,,,,,,,
2005.0,2005.3422313483916,satellite_observation,373.4,,,,,,,,,
2005.0,2005.3449691991786,satellite_observation,373.4,,,,,,,,,
2005.0,2005.3860369609856,satellite_observation,371.16,,,,,,,,,
2005.0,2005.3887748117727,satellite_observation,369.85,,,,,,,,,
2005.0,2005.4079397672826,satellite_observation,369.78,,,,,,,,,
2005.0,2005.4106776180697,satellite_observation,369.82,,,,,,,,,
2005.0,2005.432580424367,satellite_observation,370.48,,,,,,,,,
2005.0,2005.4517453798767,satellite_observation,369.04,,,,,,,,,
