year,proj_shoreline_mean,proj_shoreline_q05,proj_shoreline_q95,slr_only_shoreline_mean,slr_only_shoreline_q05,slr_only_shoreline_q95,trend_only_shoreline_mean,trend_only_shoreline_q05,trend_only_shoreline_q95
2025.0,373.8975821357488,373.8975821357486,373.8975821357486,373.8975821357488,373.8975821357486,373.8975821357486,373.8975821357488,373.8975821357486,373.8975821357486
2030.0,373.4982692364962,371.7083696751717,374.4452784620751,372.8149319316359,372.2213526228423,373.3787545045397,374.58091944060914,373.12935015670104,375.1837057068749
2040.0,371.477789022385,368.47544323616586,373.98013191009517,370.64963152341,368.86889359702957,372.34109924212186,374.72573963472394,372.3330995373362,377.41744657513374
2050.0,369.48862767699393,364.9767701181478,373.83734533723185,368.48433111518386,365.51643457121685,371.30344397970407,374.9018786975586,371.25176458988363,378.0070649604225
